##################################################################################
## Machine-generated calibration file for WSD Daughtercard
##   (because I dont hate myself)
##
## Date:	February 20, 2014:  1:06PM
## Serial:	0x00014
## Version:	4
## Created By: WARPLab based RF-Loopback BB Calibration
##################################################################################

##################################################################################
@@BAND 00
##################################################################################
@@TX_LOFT ############################################
# Gain, TX_I, TX_Q
2427, 0xBE579B95, 0x3F834B7D, 0x3F79735C # MP={0.20, -11.60}
2432, 0xBE56C2CC, 0x3F83F2AD, 0x3F783720 # MP={0.22, -11.50}
2437, 0xBE591A2E, 0x3F843479, 0x3F77BB89 # MP={0.23, -11.60}
2442, 0xBE591A2E, 0x3F843479, 0x3F77BB89 # MP={0.23, -11.60}
2447, 0xBE599A4D, 0x3F84827E, 0x3F77299A # MP={0.24, -11.60}
2452, 0xBE50BFF1, 0x3F83C86D, 0x3F7886BE # MP={0.21, -11.20}
2457, 0xBE4F62EA, 0x3F8421D5, 0x3F77DE80 # MP={0.22, -11.10}
2462, 0xBE521AEB, 0x3F836F27, 0x3F792FA3 # MP={0.20, -11.30}
2467, 0xBE5296E8, 0x3F83BCB8, 0x3F789CD9 # MP={0.21, -11.30}
2472, 0xBE53132F, 0x3F840A76, 0x3F780A65 # MP={0.22, -11.30}
2484, 0xBE591A2E, 0x3F843479, 0x3F77BB89 # MP={0.23, -11.60}

@@RX_IQ_IMBALANCE #####################################
# FREQ_MHz, SIN, COS, GAIN
2412, 0x3D4388BA, 0x3F79DFC2, 0x3F743600 # MP={-0.10, 2.80}
2417, 0x3D677A8F, 0x3F7AE925, 0x3F722E73 # MP={-0.08, 3.30}
2422, 0x3D804C9A, 0x3F7EE840, 0x3F70C876 # MP={-0.01, 3.60}
2427, 0x3D0DF6DC, 0x3F7E1535, 0x3F774CA9 # MP={-0.03, 2.00}
2432, 0x3D52F0C9, 0x3F7B8FC6, 0x3F735640 # MP={-0.07, 3.00}
2437, 0x3D3593CB, 0x3F79EA4A, 0x3F750216 # MP={-0.10, 2.60}
2442, 0x3D4C62A9, 0x3F7C2A09, 0x3F73B541 # MP={-0.06, 2.90}
2447, 0x3D536D45, 0x3F7C243B, 0x3F734F37 # MP={-0.06, 3.00}
2452, 0x3D4388BA, 0x3F79DFC2, 0x3F743600 # MP={-0.10, 2.80}
2457, 0x3D3593CB, 0x3F79EA4A, 0x3F750216 # MP={-0.10, 2.60}
2462, 0x3D2E3250, 0x3F795C1B, 0x3F756E8E # MP={-0.11, 2.50}
2467, 0x3D2F676D, 0x3F7B1699, 0x3F755CC8 # MP={-0.08, 2.50}
2472, 0x3D0BB1C7, 0x3F7A0534, 0x3F776E9B # MP={-0.10, 2.00}
2484, 0x3D517D0C, 0x3F79D473, 0x3F736B45 # MP={-0.10, 3.00}

@@RX_LOFT ############################################
# RX_I, RX_Q
0x1E, 0x4C # stdIQ={1.08,5.22}

